URL,Title,Address
https://newyork.craigslist.org/brk/egr/d/brooklyn-industrial-designer-junior/6841708812.html,INDUSTRIAL DESIGNER/JUNIOR DRAFTSMAN, (Brooklyn)
https://newyork.craigslist.org/mnh/egr/d/registered-architect/6841608808.html,Registered Architect, (Flatiron)
https://newyork.craigslist.org/brk/egr/d/brooklyn-junior-interior-designer/6841314109.html,Junior Interior Designer," (Prospect Height, Brooklyn)"
https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-on-autocad/6841095407.html,Drafting on AutoCAD, (Long Island City)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-sustainability-specialist/6840714878.html,Sustainability Specialist - NYC, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-at-high/6840662073.html,Project Manager at High - End Interior Renovation Construction Firm (N, (Manhattan)
https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-drafter/6840590703.html,AUTOCAD DRAFTER,
https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-associate-cad/6840443475.html,Architectural Associate/CAD drafter, (Brooklyn)
https://newyork.craigslist.org/brk/egr/d/brooklyn-part-time-product-engineering/6840438784.html,PART TIME  PRODUCT ENGINEERING & DEVELOP'T  POSITION, (Brooklyn)
https://newyork.craigslist.org/brk/egr/d/brooklyn-expeditor-project-manager/6840430076.html,Expeditor/Project Manager, (Brooklyn)
https://newyork.craigslist.org/brk/egr/d/brooklyn-assistant-to-the-field/6840411573.html,Assistant to the Field Operations Manager - Concrete and Excavation," (Brooklyn, NY)"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-bim-specialist-for/6839903096.html,BIM Specialist for Architecture firm, (Midtown)
https://newyork.craigslist.org/brk/egr/d/brooklyn-kitchen-designer-sales/6839771561.html,kitchen designer +sales, (BROOKLYN)
https://newyork.craigslist.org/que/egr/d/astoria-free-lance-sketchup/6839719071.html,◄◄  FREE-LANCE SKETCHUP PROFESSIONAL AVAILABLE FOR YOUR PROJECT, (Metro New York)
https://newyork.craigslist.org/mnh/egr/d/freelance-drafter-project-architect/6839694513.html,Freelance Drafter / Project Architect, (Downtown)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction/6839621183.html,Construction Administration-SHOP DRAWING/RFI COORDINATOR, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-mep-engineers-mechanical/6839616773.html,MEP Engineers -Mechanical/Electrical/Plumbing/Fire Protection - HIRING, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-3-5-years/6839592042.html,Architect (3-5 years experience), (Downtown)
https://newyork.craigslist.org/que/egr/d/maspeth-hvac-drafter/6839481790.html,HVAC Drafter,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction/6839454886.html,Construction Superintendent, (New York)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-draftsperson/6839419544.html,Architectural Draftsperson, (Flatiron)
